course_code,course_title,course_teacher,link,fas_code,unique_code
ARTS 27R,How to be a Tool: Storytelling Across Disciplines 001,Davone Tines,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=abad523da8a073eebbf9e4e4856b4f29acb23ca98052409b5668c711942c471ea09dbc962953662457c7ddfc62880576&ReportType=2&regl=en-US,FAS-000027-2222-1-1-001,FAS-000027-2222-1-1-001(Davone Tines)
ARTS 27R,How to be a Tool: Storytelling Across Disciplines 001,Isaac Winokur,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=3752525c56f37a6580f713296c2cb9b262039d2d50ddf63c82dafba0f4f05731c5ca4463e0476fa613e5524e9d9035df&ReportType=2&regl=en-US,FAS-000027-2222-1-1-001,FAS-000027-2222-1-1-001(Isaac Winokur)
AFRAMER 10,Introduction to African American Studies LEC,Henry Gates,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=2cbab1c71cbeedba32ea0f8a09dea0f8461a3a32c0d2795105c41a77197e4289d3fa120c024de8789ec36bdb3938f4e9&ReportType=2&regl=en-US,FAS-122910-2222-1-1-LEC,FAS-122910-2222-1-1-LEC(Henry Gates)
AFRAMER 10,Introduction to African American Studies LEC,Evelynn Hammonds,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=446361494b32c3b64329b4a4fcd8b9b634e4b4d85895659672985b362a9058b2a10b074e1e3fd67a904a5d837f17ae7a&ReportType=2&regl=en-US,FAS-122910-2222-1-1-LEC,FAS-122910-2222-1-1-LEC(Evelynn Hammonds)
AFRAMER 109Y,Social Justice and the Documentary Film LEC,Vivek Bald,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=fed6eb8f3af6ef33cea49a9a195999709361ae62b5a1d7eb2475c7ebef03af79d0568973216bb998dbb5cd9186c9849b&ReportType=2&regl=en-US,FAS-219732-2222-1-1-LEC,FAS-219732-2222-1-1-LEC(Vivek Bald)
AFRAMER 131Y,Black Womens Voices in the #MeToo Era LEC,Linda Chavers,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=0a814e09526b59e2af649d0596a5abd0671542ccbb734c6da6f755737342c3291348f691b552c4d5a2df875fcd5d94c1&ReportType=2&regl=en-US,FAS-207805-2222-1-1-LEC,FAS-207805-2222-1-1-LEC(Linda Chavers)
AFRAMER 142,Hiphop Worldwide LEC,Marcyliena Morgan,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=594151a010c41493c82a9488116fb72587bd0133b0e7130d04018b74ae020c17cd2329feab88b69c2e435035ad23af26&ReportType=2&regl=en-US,FAS-126710-2222-1-1-LEC,FAS-126710-2222-1-1-LEC(Marcyliena Morgan)
AFRAMER 152Y,20th Century African American Literature LEC,Glenda Carpio,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=649b1cc1c3234c28a9f4ce29714ecd5ee9a7517124e33d98babef22bf223f04c4d428adbe12421230457fe39c4824a87&ReportType=2&regl=en-US,FAS-216643-2222-1-1-LEC,FAS-216643-2222-1-1-LEC(Glenda Carpio)
AFRAMER 189X,"MEDICINE. SCIENCE, AND EMPIRE LEC",Jean Comaroff,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=c88979a4ef62b13f2dc25a9c62b18297ebc7a7815f24ffa76d22900ec42b8973cf705be32616c49288ae319e85af468b&ReportType=2&regl=en-US,FAS-108677-2222-1-1-LEC,FAS-108677-2222-1-1-LEC(Jean Comaroff)
AFRAMER 209B,Africa Rising? New African Economies/Cultures and Their Global Implications 001,Jean Comaroff,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=eb3805921e54aa2ecabd940e88752b73c7cbd26bd845abe46c81ab88e950ea04ad62ffa16425a58010822d4deb9aa6df&ReportType=2&regl=en-US,FAS-108694-2222-1-1-001,FAS-108694-2222-1-1-001(Jean Comaroff)
AFRIKAAN AB,Elementary Afrikaans 001,John Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=2abdf987266ee9efc3c9eaebb9533123f929ccb49c002a54e52c57dc1a1d282cb815ae3f4606216719600e8a3e3c7c9e&ReportType=2&regl=en-US,FAS-205831-2222-1-1-001,FAS-205831-2222-1-1-001(John Mugane)
IGBO AB,Elementary Igbo 001,Taiwo Ehineni,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a73d107cf3601b8ce08c04b5e6fab9fe43146982d6256a4865c213fdc54bcf993283f87f239acaaa85a6801a40695e77&ReportType=2&regl=en-US,FAS-205854-2222-1-1-001,FAS-205854-2222-1-1-001(Taiwo Ehineni)
IGBO AB,Elementary Igbo 001,John Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=4a62cd0ab8adbca5771e4271ec9bc9864de73bcba362d26b8877e92087b49734309d2a4df7df8aa02fb179bc922efd4c&ReportType=2&regl=en-US,FAS-205854-2222-1-1-001,FAS-205854-2222-1-1-001(John Mugane)
SWAHILI AB,Elementary Swahili 001,John Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=b49c7bc1b65d22520da45d8b7de1687123bf26517265763fe943d65a896e40d81319f0b0f0c4eb5008f5fc2dec486265&ReportType=2&regl=en-US,FAS-159829-2222-1-1-001,FAS-159829-2222-1-1-001(John Mugane)
