course_code,course_title,course_teacher,link,fas_code,unique_code
AAAS 112,"Black Art and the Refounding of America: Art, Race, and U.S. Law 001",Lewis,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=7a0a2af3e410e112bf9de805337d95874c27341b5445e2f5053d952af958c58c9549a839ccebc274f7760f73d58e1223&ReportType=2&regl=en-US,FAS-222670-2238-1-1-001,FAS-222670-2238-1-1-001(Lewis)
AAAS 112,"Black Art and the Refounding of America: Art, Race, and U.S. Law 001",Mayo,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=d677bffd2ced323346de4ea71de9730debfd7328e2678d628dc6b6aeafb06c5051167b0f72f47dd7fe21380cbc3f1f5b&ReportType=2&regl=en-US,FAS-222670-2238-1-1-001,FAS-222670-2238-1-1-001(Mayo)
AFRAMER 11,Introduction to African Studies 001,Agbiboa,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f8d732981bbbb5526df4e410f8acb552611875e47865190d9e1f7290e030c6948c983f21379ae6914427b9a9e391e0c3&ReportType=2&regl=en-US,FAS-123591-2238-1-1-001,FAS-123591-2238-1-1-001(Agbiboa)
AFRAMER 111X,"Africa in the Twentieth Century: Culture, Representation, and New Diasporas SEM",Ogene,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=83c193a7136773b57d8178f3c9adb61d6951dbed50969e7e67029e3f3af5535afaa4060c514ee78f889d3327ddf0bea6&ReportType=2&regl=en-US,FAS-222142-2238-1-1-SEM,FAS-222142-2238-1-1-SEM(Ogene)
AFRAMER 120X,African American Theatre SEM,Bernstein,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=7b97ab23f40cf6091aa63bcb130b04a56633f604979f11083a409a24ecddb7e6484904ed0cd62aa26c35e265eed798fa&ReportType=2&regl=en-US,FAS-108167-2238-1-1-SEM,FAS-108167-2238-1-1-SEM(Bernstein)
AFRAMER 120X,African American Theatre SEM,Carpio,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=8f53475d7ddf337480a9a878e5427f4761fcbee07dfeb64ee602c2cd0ee87c7117415b8fd998d45c8ba3bd75afbfb8ae&ReportType=2&regl=en-US,FAS-108167-2238-1-1-SEM,FAS-108167-2238-1-1-SEM(Carpio)
AFRAMER 135Y,Black Feminist Theory Seminar 001,Perry,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a8b17b05ac35fa7d98c8c811c856d4fc278fa62e56dacc1360ae9a5ffd0500c7a6483956036429fd8f1e53df8afb71e2&ReportType=2&regl=en-US,FAS-222230-2238-1-1-001,FAS-222230-2238-1-1-001(Perry)
AFRAMER 146X,A Black History of Electronic Dance Music 001,Aumoithe,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=0d00e4523165e9ea2520e4f03365074abecf8d6d0f26b48e82e78aaaceae5ea292ed6cb7f1a42bb1772b96a227d5e146&ReportType=2&regl=en-US,FAS-222657-2238-1-1-001,FAS-222657-2238-1-1-001(Aumoithe)
AFRAMER 184X,Jim Crow: Histories and Revivals 001,Eatmon,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=4d90484beed4bbd9a1679a51c5ef972240a5c86b4f1ac97324c676ab09b567d7446655106440411e0562cc481df0e4f8&ReportType=2&regl=en-US,FAS-220490-2238-1-1-001,FAS-220490-2238-1-1-001(Eatmon)
AFRAMER 197,"Poverty, Race, and Health 001",Williams,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=3c90321e36c8684ae1f3aee2dc7232e0cb3694c34ea437533b8f66f47c82beac1a55a4ca5f68c6dc182ec30c7f2f3ace&ReportType=2&regl=en-US,FAS-123435-2238-1-1-001,FAS-123435-2238-1-1-001(Williams)
AFRAMER 201,Theory and Race in Africa 001,Agbiboa,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=07fefcc35cd1abfd6567afbdf0751cef683008526bfc4103b1c53b76b276a225e4f23ccf78b733e5ff9bbbd1a240afba&ReportType=2&regl=en-US,FAS-222201-2238-1-1-001,FAS-222201-2238-1-1-001(Agbiboa)
AFRAMER 232,The Ethnic Avant-Garde 001,McCarthy,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=7625b4cc050444f980f4f6f802092f38668af546f53e4969162e5979652c41abfaee76ee1bb72f590d0e12e7c0f7ee39&ReportType=2&regl=en-US,FAS-222658-2238-1-1-001,FAS-222658-2238-1-1-001(McCarthy)
AFRIKAAN AA,Elementary Afrikaans 001,Mugane,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=e02d684636db96c2610f3bda62ba6eb00b0f84f2b3d168fc8d50d859d70c044e1d3925bdf73fa6f1d8694e951ea2063e&ReportType=2&regl=en-US,FAS-109427-2238-1-1-001,FAS-109427-2238-1-1-001(Mugane)
AMHARIC AA,Elementary Amharic 001,Mugane,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f86a63c2c190d1eeacf386a2e69296666298f44582dac0e9dc91568b5344797bdf347b52279767b88ea8d54b4ff9e586&ReportType=2&regl=en-US,FAS-126300-2238-1-1-001,FAS-126300-2238-1-1-001(Mugane)
