course_code,course_title,course_teacher,link,fas_code,unique_code
AFRIKAAN AB,Elementary Afrikaans 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=6108a1fa4200075b9ae499c2a954d37db1662c65f45cfb023e013d5022e53c3bc9ae0bf8981b49c04f3efa973343ab98&ReportType=2&regl=en-US,FAS-205831-2232-1-1-001,FAS-205831-2232-1-1-001(Mugane)
GULLAH AB,Elementary Gullah 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=ece1e370ff2fcb9c89d814357234882c49cc1c3072f51802d15dc602be15d72ba3db53bbdf9954a09d9d1ae01ccd151e&ReportType=2&regl=en-US,FAS-206598-2232-1-1-001,FAS-206598-2232-1-1-001(Mugane)
HAITIAN AB,Elementary Haitian Creole 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=40165b7ba52822756bbc7e84f2062adcff89581572751d45b31878f71b6b9dec38b0d346f72e389cc7a28cff6d0b898a&ReportType=2&regl=en-US,FAS-205859-2232-1-1-001,FAS-205859-2232-1-1-001(Mugane)
IGBO AB,Elementary Igbo 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=9a62c405aa8ba2c640e43d77982f963188667c62a0291339593837847962651d460d4ef103c6af860d3b8621e2c40d4e&ReportType=2&regl=en-US,FAS-205854-2232-1-1-001,FAS-205854-2232-1-1-001(Mugane)
TWI AB,Elementary Twi 001,Akutey-Baffoe,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=e9b2ce17d0443bafbeb1c8a635918374a1064764f96f4bc2a4cfdc58e3ff7124e71405c737f6f2e25f2e22e6eeb286d8&ReportType=2&regl=en-US,FAS-159869-2232-1-1-001,FAS-159869-2232-1-1-001(Akutey-Baffoe)
WSTAFRCN AB,Elementary West African Pidgin 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=1746a42e2ed6d7fe1a95f86ea56d8aaec1b591afc74b0e0b599db61c6fe1322a76340b57f543ccc21804c6193cc8484d&ReportType=2&regl=en-US,FAS-205842-2232-1-1-001,FAS-205842-2232-1-1-001(Mugane)
WSTAFRCN BB,Intermediate West African Pidgin 001,Ehineni,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=0a4f77a81da22f38cc9f9db64608cb7cb24e43c9341e0fa89694f6c63da1d3a19fe9c5830bd5d7ef071a1414652ba578&ReportType=2&regl=en-US,FAS-205871-2232-1-1-001,FAS-205871-2232-1-1-001(Ehineni)
YORUBA AB,Elementary Yoruba 001,Ehineni,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=9f67220c08a01fc6502dd59cfc4cfc99f7d7249461fb5a8211f771091b8025d5c5605e5017ba43a8ead6422f52a9c997&ReportType=2&regl=en-US,FAS-159872-2232-1-1-001,FAS-159872-2232-1-1-001(Ehineni)
ZULU AB,Elementary Zulu 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=02c7ff07bebaa861191c9dec5faafa64c6dcff3310a7d7bfb953216f8015f534ce0de5e6edc44abb991603e6b85ae1b9&ReportType=2&regl=en-US,FAS-205849-2232-1-1-001,FAS-205849-2232-1-1-001(Mugane)
ANTHRO 97Z,Sophomore Tutorial: Anthropology as Social Theory and the Social Theory of Anthropology 001,Coleman,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=cf2f48d29dc3a591867b626a1239b1adb90ff5ded1661c0197e6442b7455f321bc6b8f1b61db0789b285e5a87e9024c6&ReportType=2&regl=en-US,FAS-143028-2232-1-1-001,FAS-143028-2232-1-1-001(Coleman)
ANTHRO 98B,Junior Tutorial for Thesis Writers in Anthropology 001,Khaira,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=39e7a23d92360be248ec2c01b8b662d487e8ca50e57fd985c80624dd3dc6cd49bbd0b6368b999de823b1a5e52e9fdcd8&ReportType=2&regl=en-US,FAS-205522-2232-1-1-001,FAS-205522-2232-1-1-001(Khaira)
ANTHRO 99B,Thesis Tutorial in Anthropology - Senior Year 001,Khaira,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f778073562804fa58de7be4291ffc6f080d37d9b1c2c0d3c68c5d698ebf3b8f4f0b6b12d8fb4aca984359d2f6289684b&ReportType=2&regl=en-US,FAS-205185-2232-1-1-001,FAS-205185-2232-1-1-001(Khaira)
ANTHRO 1150,Ancient Landscapes 001,Ur,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=03701ba3ac1e13cb211ce4c73c325284409afec694d1723ddf4288a1732295579df59d45764f92f865bafc3908cc19ea&ReportType=2&regl=en-US,FAS-120579-2232-1-1-001,FAS-120579-2232-1-1-001(Ur)
ANTHRO 1435,Challenging Collections: Critical Reflections on Collecting Through Harvard’s History 001,Loren,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=e21686bd4ccb0c7c79548a85a42e035dd57bc73f56a2484755ec719a1fa1b8d06b624bba1ba5e82fbfe344f735b52173&ReportType=2&regl=en-US,FAS-218189-2232-1-1-001,FAS-218189-2232-1-1-001(Loren)
ANTHRO 1475,"Religious Dimensions in Human Experience: Apocalypse, Sports, Music, Home, Sacrifice, Medicine 001",Carrasco,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=32d82e78de34ce99b74c66812bb6fd6834ca89a56c1afbfdbf35c31f74e8982fb378d5d9455dcee9b8a56e372f1784b4&ReportType=2&regl=en-US,FAS-219708-2232-1-1-001,FAS-219708-2232-1-1-001(Carrasco)
ANTHRO 1617,"The Price of Solidarity: Value, Sacrifice, Capital 001",Fierman,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=6d1eba807a72a1570cb3d5080b35aa16ba6ee45c2b3cf125c3b019d414a440a6e9900c16abd89a5c012c6461d5c40c5a&ReportType=2&regl=en-US,FAS-218708-2232-1-1-001,FAS-218708-2232-1-1-001(Fierman)
ANTHRO 1709,"The Anthropology of Power: Sovereignty, Hegemony, and Resistance 001",Fierman,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=482bb20e0635d3a77e4dae54720b298f52fd49577edacf6636d262b98f0721ff18225bd5921a63facf71b3af23dd201b&ReportType=2&regl=en-US,FAS-218709-2232-1-1-001,FAS-218709-2232-1-1-001(Fierman)
ANTHRO 1813,Science from the Arctic: Histories and Futures 001,Herranen-Tabibi,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=824209dc60437faa75cd2f623cad097d6e0e92aec73020f70e6de97a0862149014be6489a51fbe67bea3cb3993d34d99&ReportType=2&regl=en-US,FAS-221635-2232-1-1-001,FAS-221635-2232-1-1-001(Herranen-Tabibi)
ANTHRO 1826,Medical Anthropology: Advanced Topics 001,Kleinman,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=9bae3888cb02228a66e90f6e12bc169e0b4b4799962bcfb17fa42384a6204a618463e58bbaefdd2758ac13462886c16f&ReportType=2&regl=en-US,FAS-160441-2232-1-1-001,FAS-160441-2232-1-1-001(Kleinman)
ANTHRO 1883,Where Science Meets Society: Introduction to STS 001,Jabloner,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=fea994330a78c0b27e17acae2ecff19290b8d0c81f1117056f532fe2692860fd44ff8c08bc8dc06577ff9e828a3f50df&ReportType=2&regl=en-US,FAS-213469-2232-1-1-001,FAS-213469-2232-1-1-001(Jabloner)
ANTHRO 1898,Digital Ethnographic Methods 001,Garza,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=ed9d5b05f3a1f29667d37328ef992ac1ce65b7c40ed25a2a68684792689411e415de6d23019dff7d201888e32618de53&ReportType=2&regl=en-US,FAS-219706-2232-1-1-001,FAS-219706-2232-1-1-001(Garza)
ANTHRO 1900,Counseling as Colonization? Native American Encounters with the Clinical Psy-ences 001,Gone,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=8055f18513e504da70deac684e1b0bdddbe19cc288a719ddd2ac48e5269bd7d88d79575d34339e63d48aac09df49337b&ReportType=2&regl=en-US,FAS-208154-2232-1-1-001,FAS-208154-2232-1-1-001(Gone)
ANTHRO 2061,Archaeological Science 001,Richter,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=b281b7fac04026540418b645270abb2d8a09d83f0ec8809461f682bbd6c97886266a734b803cb4d20f035e12e40180c5&ReportType=2&regl=en-US,FAS-221673-2232-1-1-001,FAS-221673-2232-1-1-001(Richter)
ANTHRO 2061,Archaeological Science 001,Warinner,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a920a20302a7c419564d9c25b014224bb5fd986ae6d58fe0abc111a3477e9040419bc2ed3d6a60ee20667ac336295977&ReportType=2&regl=en-US,FAS-221673-2232-1-1-001,FAS-221673-2232-1-1-001(Warinner)
ANTHRO 2690,"Middle East Ethnography: Discourse, Politics, and Culture 001",Caton,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=baccb168f64d57c2381b896b83187b4b80f02355b9156a0cea4b535357d6f8c05bbcab0a815ab51301f75f4749b4834f&ReportType=2&regl=en-US,FAS-122439-2232-1-1-001,FAS-122439-2232-1-1-001(Caton)
